Pnum,Condition,IBArticle,EBArticle,Accountability_1,Accountability_2,Accountability_3,Accountability_4,Accountability_4_REV,Accountability_5,Accountability_5_REV,Accountability_6,xAccountability,Concern_1,Concern_1_REV,Concern_2,Concern_2_REV,Concern_3,Concern_3_REV,Concern_4,Concern_5,Concern_6,xConcern,Reform_1,Reform_2,Reform_3,Reform_4,Reform_5,xReform,Punish_1,Punish_2,Punish_3,xPunish,BiasPercep_1,BiasPercep_2,BiasPercep_3,BiasPercep_3_REV,BiasPercep_4,xBiasPercep,Attribution,MCP_1,MCP_2,MCP_3,MCP_4,MCP_5,xEMS,MCP_6,MCP_7,MCP_7_REV,MCP_8,MCP_9,MCP_10,xIMS,BiasAware_1,BiasAware_2,BiasAware_3,BiasAware_4,BiasAware_4_REV,xBiasAware,IB_Know_1,IB_Know_2,IB_Know_3,xIBKnow,ArtCheck1,ArtCheck2,BiasDef,Job,MedicalProf,GunOwn,MarijuanaUse,Age,Gender,Gender_Recoded,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_6_TEXT,White_Nonwhite,Cons,Lib,Lib_REV,xCons,Party,Party_TEXT,Exclude,Suspicion,Feedback,Hype,Prev
120,-0.5,0,1,5,7,7,5,3,3,5,7,5.67,1,7,1,7,6,2,7,6,3,5.33,7,7,7,2,6,5.8,4,7,5,5.33,2,3,2,6,2,3.25,5,1,1,2,1,1,1.2,6,1,7,7,7,7,6.8,3,2,7,6,2,3.5,7,7,7,7,3,3,3,Freelance crowdsource worker,0,2,2,42,2,0.5,1,0,0,0,0,0,,0.5,2,6,2,2,1,,1,0,No,Assessing knowledge and awareness of implicit biases,2
121,-0.5,0,1,3,7,7,3,5,1,7,5,5.67,5,3,3,5,5,3,3,5,1,3.33,7,5,6,5,3,5.2,1,5,3,3,3,3,3,5,3,3.5,5,2,3,3,3,1,2.4,6,1,7,6,5,5,5.8,2,5,5,3,5,4.25,6,6,6,6,3,3,3,Disabled nurse,1,2,1,53,2,0.5,0,0,1,0,0,0,,-0.5,2,6,2,2,1,,1,0,The article was fascinating,To determine if participants are aware of implicit bias,2
122,-0.5,0,1,6,7,7,1,7,1,7,7,6.83,1,7,3,5,4,4,7,7,7,6.17,7,7,7,7,7,7,4,7,5,5.33,1,1,7,1,1,1,5,1,1,2,1,1,1.2,7,1,7,7,7,7,7,1,1,1,7,1,1,7,7,7,7,3,3,3,Business Associate,0,2,2,24,1,-0.5,0,0,1,0,0,0,,-0.5,5,5,3,4,3,,1,0,Great!,"Probably, to find out what people think about implicit bias.",2
123,-0.5,0,1,6,5,7,3,5,1,7,3,5.5,6,2,2,6,5,3,3,7,2,3.83,3,6,5,5,2,4.2,3,2,6,3.67,2,3,6,2,5,3,5,3,2,3,7,1,3.2,7,5,3,6,2,3,4.2,5,6,2,3,5,4.5,6,3,2,3.67,3,3,3,Nurse,1,1,2,28,2,0.5,0,0,0,1,0,0,,0.5,7,1,7,7,2,,1,0,No Comments.,I'm not really sure.,2
124,-0.5,0,1,5,6,6,3,5,3,5,7,5.67,2,6,2,6,5,3,6,5,6,5.33,6,6,6,6,5,5.8,6,6,6,6,5,5,7,1,3,3.5,6,4,4,3,3,3,3.4,7,6,2,6,6,6,5.4,5,5,5,3,5,5,6,6,6,6,3,3,3,cashier,0,2,2,30,2,0.5,0,0,1,0,0,0,,-0.5,1,7,1,1,1,,1,0,,,3
125,-0.5,0,1,3,4,4,2,6,3,5,3,4.17,6,2,6,2,6,2,2,2,2,2,6,2,6,2,2,3.6,2,2,2,2,6,6,2,6,6,6,4,2,3,2,2,2,2.2,3,3,5,2,2,2,2.8,3,3,2,5,3,2.75,5,6,5,5.33,3,3,3,Accountant,0,2,2,34,1,-0.5,0,0,1,0,0,0,,-0.5,5,5,3,4,2,,1,0,,,2
126,-0.5,0,1,6,7,7,1,7,2,6,7,6.67,1,7,3,5,7,1,7,7,1,4.67,7,6,7,4,2,5.2,4,6,5,5,3,5,3,5,3,4,7,1,1,2,1,1,1.2,7,1,7,7,7,7,7,6,2,6,4,4,4.5,7,7,7,7,3,3,3,Bus Driver,0,2,2,32,1,-0.5,1,0,1,0,0,0,,0.5,2,6,2,2,3,,1,0,,Studying an individual's thoughts on doctor's possible implicit and explicit bias towards their patients.,3
127,-0.5,0,1,5,4,4,4,4,4,4,7,4.67,6,2,6,2,7,1,6,2,4,2.83,7,7,6,5,6,6.2,2,6,2,3.33,6,6,4,4,6,5.5,6,1,1,4,1,1,1.6,7,2,6,7,7,7,6.8,6,6,6,2,6,6,5,5,5,5,3,3,3,homemaker,0,2,2,46,2,0.5,1,0,0,0,0,0,,0.5,2,6,2,2,3,,1,0,,not sure,2
128,-0.5,0,1,7,6,7,1,7,2,6,7,6.67,3,5,3,5,3,5,7,7,7,6,6,6,6,6,6,6,7,7,7,7,2,2,6,2,2,2,4,5,6,6,5,5,5.4,7,2,6,7,7,7,6.8,2,3,3,4,4,3,6,6,6,6,3,3,3,Antique dealer,0,2,1,30,2,0.5,0,0,1,0,0,0,,-0.5,2,6,2,2,3,,1,0,No.,I'm not entirely sure.,2
129,-0.5,0,1,4,5,5,5,3,5,3,6,4.33,5,3,5,3,6,2,5,4,3,3.33,4,5,6,3,4,4.4,4,4,3,3.67,6,6,3,5,6,5.75,5,4,3,3,3,2,3,6,2,6,6,5,5,5.6,5,5,5,2,6,5.25,5,5,5,5,3,3,3,IT,0,2,2,40,1,-0.5,0,0,1,0,0,0,,-0.5,3,6,2,2.5,3,,1,1,How often does gun ownership come up in doctor visits? I'm suspicious of this article...,Dunno.,2
130,-0.5,0,1,6,5,5,3,5,5,3,7,5.17,3,5,3,5,4,4,7,5,7,5.5,5,6,6,5,6,5.6,3,6,4,4.33,6,5,3,5,5,5.25,4,7,5,5,5,3,5,7,4,4,6,5,7,5.8,5,5,5,3,5,5,6,6,6,6,3,3,3,Sales,0,1,1,35,1,-0.5,0,0,1,0,0,0,,-0.5,3,5,3,3,1,,1,0,Nope,To view bias when it occurs with professional fields.,2
131,-0.5,0,1,7,7,7,1,7,2,6,7,6.83,2,6,2,6,6,2,7,7,2,5,5,7,6,5,4,5.4,6,6,4,5.33,7,7,2,6,6,6.5,6,7,6,6,7,7,6.6,3,5,3,2,4,3,3,6,4,4,3,5,4.75,6,6,6,6,3,3,3,Retired,0,2,2,64,2,0.5,0,0,1,0,0,0,,-0.5,6,1,7,6.5,2,,1,0,None,Bias and perceptions about bias.,2
132,-0.5,0,1,6,6,6,3,5,5,3,6,5.33,5,3,5,3,5,3,6,5,6,4.33,6,6,6,6,6,6,3,6,3,4,5,5,3,5,5,5,6,5,5,2,2,2,3.2,6,2,6,2,5,6,5,5,6,5,3,5,5.25,5,5,6,5.33,3,3,3,Tutor,0,2,2,25,2,0.5,0,1,0,0,0,0,,0.5,1,6,2,1.5,1,,1,0,no,It was to see what our views on races are.,2
133,-0.5,0,1,5,6,5,3,5,4,4,6,5.17,3,5,3,5,5,3,6,5,6,5,5,5,6,4,4,4.8,5,5,3,4.33,5,5,3,5,3,4.5,5,5,5,6,5,5,5.2,5,3,5,6,5,2,4.6,6,5,5,3,5,5.25,6,5,5,5.33,3,3,3,Accountant,0,2,2,39,1,-0.5,0,0,1,0,0,0,,-0.5,3,4,4,3.5,3,,1,0,,,2
134,-0.5,0,1,2,3,5,6,2,3,5,5,3.67,5,3,5,3,5,3,3,5,2,3.17,6,3,6,2,5,4.4,2,2,2,2,5,6,5,3,2,4,6,6,5,5,3,3,4.4,6,2,6,6,6,5,5.8,5,2,5,3,5,4.25,6,6,6,6,3,3,3,substitute teacher,0,2,2,61,2,0.5,0,0,1,0,0,0,,-0.5,2,6,2,2,1,,1,0,no,see how an article about bias would affect my views of bias,2
135,-0.5,0,1,6,7,7,6,2,2,6,7,5.83,7,1,7,1,7,1,7,7,7,4,7,7,7,6,7,6.8,6,7,7,6.67,7,7,7,1,6,5.25,1,5,7,7,6,7,6.4,7,6,2,6,5,7,5.4,6,7,7,7,1,5.25,7,6,6,6.33,3,3,3,Manager,0,1,2,18,1,-0.5,0,0,0,1,0,0,,0.5,7,2,6,6.5,2,,1,0,,Learn about bias based on politics,2
136,-0.5,0,1,4,6,3,3,5,6,2,4,4,4,4,5,3,3,5,4,5,3,4,4,5,6,4,3,4.4,4,4,3,3.67,5,6,4,4,2,4.25,3,3,5,2,3,1,2.8,2,5,3,5,5,4,3.8,3,2,6,4,4,3.75,5,4,3,4,3,3,3,Accountant,0,2,2,29,1,-0.5,0,0,1,0,0,0,,-0.5,6,3,5,5.5,2,,1,0,no,not sure,2
137,-0.5,0,1,7,7,7,7,1,3,5,6,5.5,1,7,1,7,1,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6.67,4,4,4,4,4,4,4,5,4,5,5,5,4.8,4,4,4,4,5,4,4.2,4,4,4,4,4,4,5,5,5,5,3,3,3,paralegal,0,2,2,43,2,0.5,0,0,1,0,0,0,,-0.5,6,1,7,6.5,3,,1,0,Very important survey!,implicit bias,3
138,-0.5,0,1,4,6,5,5,3,6,2,4,4,5,3,6,2,4,4,6,5,6,4.33,6,4,4,5,5,4.8,3,5,5,4.33,4,6,6,2,4,4,5,5,5,5,4,5,4.8,6,4,4,4,6,6,5.2,4,4,6,5,3,4.25,6,5,5,5.33,3,3,3,mechanical engineer,0,2,2,24,1,-0.5,1,0,0,0,0,0,,0.5,2,6,2,2,1,,1,0,no,the purpose was to know what people thought about an article,2
139,-0.5,0,1,4,5,6,4,4,3,5,6,5,2,6,3,5,4,4,6,6,6,5.5,6,5,6,3,4,4.8,4,5,4,4.33,6,5,3,5,6,5.5,6,4,4,5,5,3,4.2,6,2,6,6,6,6,6,5,3,5,4,4,4.25,5,5,6,5.33,3,3,3,admin asst,0,2,2,31,2,0.5,0,0,0,0,1,0,,0.5,2,6,2,2,3,,1,0,none,to understand the general publics view on bias and whether on not there should be repercussions,2
140,-0.5,0,1,4,5,5,3,5,3,5,5,4.83,5,3,5,3,5,3,6,6,6,4.5,6,5,6,5,6,5.6,5,5,5,5,5,5,3,5,2,4.25,5,4,3,4,2,2,3,6,2,6,6,6,6,6,5,5,5,5,3,4.5,5,5,6,5.33,1,3,3,writer/editor,0,2,2,51,2,0.5,0,0,1,0,0,0,,-0.5,1,7,1,1,1,,1,0,no,Finding out what we think about bias and judging people on how biased they are,2
141,-0.5,0,1,5,6,5,4,4,4,4,6,5,4,4,5,3,5,3,6,5,5,4.33,5,4,5,4,5,4.6,4,4,3,3.67,5,5,3,5,4,4.75,6,4,5,5,4,4,4.4,6,1,7,6,7,6,6.4,5,4,5,4,4,4.5,5,5,5,5,3,3,3,data entry,0,2,3,32,2,0.5,0,0,1,1,0,0,,0.5,1,7,1,1,1,,1,0,no,biases,3
142,-0.5,0,1,3,6,4,5,3,5,3,6,4.17,5,3,6,2,6,2,3,4,2,2.67,5,4,7,3,2,4.2,3,4,4,3.67,6,3,5,3,5,4.25,5,1,5,3,3,2,2.8,6,1,7,7,6,6,6.4,3,2,4,4,4,3.25,5,6,6,5.67,3,3,3,Graphic Designer,0,2,2,29,1,-0.5,0,0,1,0,0,0,,-0.5,2,7,1,1.5,1,,1,0,Not at the moment.,To see if people believe it is okay for doctors to act in a biased matter if they themselves do so.,2
143,-0.5,0,1,7,7,7,1,7,6,2,7,6.17,5,3,2,6,6,2,7,7,7,5.33,7,7,7,7,7,7,6,7,5,6,6,6,5,3,6,5.25,6,7,7,6,7,2,5.8,7,2,6,7,7,7,6.8,6,7,7,2,6,6.5,3,5,4,4,3,3,3,Specimen Processor,0,2,1,33,2,0.5,0,0,1,0,0,0,,-0.5,2,6,2,2,1,,1,0,,I think the purpose of this study was to raise awareness of political bias in the medical field.,2
144,-0.5,0,1,4,3,3,4,4,5,3,5,3.67,3,5,3,5,2,6,5,3,3,4.5,5,3,6,3,5,4.4,3,2,5,3.33,3,5,2,6,5,4.75,3,2,5,4,5,2,3.6,5,4,4,2,2,4,3.4,2,2,4,5,3,2.75,3,2,3,2.67,1,3,1,retail,0,2,2,24,1,-0.5,0,0,1,0,0,0,,-0.5,4,4,4,4,3,,1,0,,,2
145,-0.5,0,1,5,5,2,3,5,2,6,6,4.83,3,5,5,3,6,2,6,6,3,4.17,6,5,7,3,5,5.2,3,6,5,4.67,5,6,3,5,3,4.75,7,3,2,5,5,3,3.6,7,1,7,7,7,7,7,6,7,7,2,6,6.5,7,7,7,7,3,3,3,social work student,0,2,1,27,2,0.5,0,1,0,0,0,0,,0.5,2,7,1,1.5,1,,1,0,interesting side articles on the screenshot,to find out attitudes about implicit bias and political party,2
146,-0.5,0,1,4,7,4,2,6,6,2,6,4.83,4,4,4,4,4,4,6,4,6,4.67,1,1,1,1,2,1.2,1,1,1,1,2,1,6,2,1,1.5,1,1,1,1,1,1,1,6,1,7,6,6,4,5.8,2,1,1,7,1,1.25,5,5,1,3.67,3,3,3,Tennis Teaching Professional,0,1,1,31,1,-0.5,0,0,1,0,0,0,,-0.5,4,4,4,4,3,,1,0,None.,Bias based on political ideology.,2
147,-0.5,0,1,6,5,5,2,6,5,3,2,4.5,5,3,4,4,5,3,5,4,3,3.67,6,6,5,4,5,5.2,5,5,6,5.33,6,5,6,2,5,4.5,5,5,5,5,5,2,4.4,5,6,2,3,6,5,4.2,4,5,5,5,3,4.25,2,5,3,3.33,2,2,3,IT,0,1,2,30,1,-0.5,0,0,1,0,0,0,,-0.5,6,5,3,4.5,2,,1,0,,,2
148,-0.5,0,1,6,6,7,2,6,3,5,5,5.83,3,5,2,6,2,6,7,6,6,6,5,5,4,6,7,5.4,5,5,6,5.33,2,2,5,3,2,2.25,3,6,4,4,4,3,4.2,6,1,7,7,7,6,6.6,4,2,5,4,4,3.75,6,5,5,5.33,3,3,3,Admin,0,1,2,27,2,0.5,0,1,0,0,0,0,,0.5,1,6,2,1.5,1,,1,0,,,2
149,-0.5,0,1,6,4,3,5,3,5,3,5,4,5,3,4,4,5,3,5,6,5,4.33,4,5,5,5,6,5,6,5,5,5.33,6,5,5,3,4,4.5,5,6,5,5,4,4,4.8,5,5,3,4,5,4,4.2,5,6,4,5,3,4.5,5,5,6,5.33,3,3,3,manager,0,2,2,32,1,-0.5,0,0,1,0,0,0,,-0.5,3,5,3,3,1,,1,0,no,decision making,2
150,-0.5,0,1,6,5,5,7,1,3,5,6,4.67,6,2,4,4,7,1,6,5,3,3.5,2,5,6,6,5,4.8,5,5,2,4,5,5,6,2,3,3.75,6,6,5,6,5,2,4.8,2,6,2,5,6,7,4.4,2,5,5,7,1,3.25,6,3,5,4.67,3,3,3,Manager,0,2,2,32,1,-0.5,0,0,0,0,1,0,,0.5,6,6,2,4,1,,1,0,,,2
151,-0.5,0,1,6,6,6,2,6,3,5,7,6,6,2,6,2,6,2,6,6,6,4,6,4,7,4,6,5.4,4,4,4,4,4,4,4,4,5,4.25,4,6,5,5,5,5,5.2,5,3,5,4,5,4,4.6,5,5,5,2,6,5.25,5,5,5,5,3,3,3,Finance Operations Associate,0,1,2,57,2,0.5,0,1,0,0,0,0,,0.5,5,3,5,5,2,,1,0,no,implicit bias,2
152,-0.5,0,1,3,4,6,5,3,4,4,6,4.33,6,2,6,2,6,2,6,5,3,3.33,6,2,6,2,2,3.6,2,4,2,2.67,6,6,2,6,6,6,5,6,6,5,6,6,5.8,6,5,3,4,5,4,4.4,6,4,6,2,6,5.5,6,6,6,6,3,3,3,Retired,0,1,1,66,1,-0.5,0,0,1,0,0,0,,-0.5,6,1,7,6.5,2,,1,0,,I don't know.,2
153,-0.5,0,1,5,5,5,2,6,3,5,2,4.67,3,5,3,5,3,5,5,5,3,4.67,6,6,6,6,6,6,5,5,4,4.67,3,3,5,3,3,3,3,3,2,3,3,2,2.6,5,3,5,5,5,5,5,3,3,3,5,3,3,4,4,5,4.33,3,3,3,sales clerk,0,2,2,29,2,0.5,1,0,0,0,0,0,,0.5,3,5,3,3,1,,1,0,no,unsure,2
154,-0.5,0,1,7,7,7,1,7,1,7,7,7,1,7,1,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7,1,1,1,4,4,2,6,4,2,3.6,7,2,6,6,7,6,6.4,1,1,2,3,5,2.25,7,7,7,7,3,3,3,CA Rep,0,2,1,33,1,-0.5,0,0,1,0,0,0,,-0.5,2,5,3,2.5,4,moralist,1,0,nope,judge our bias,2
155,0.5,1,0,4,3,5,5,3,5,3,6,4,5,3,5,3,5,3,4,5,5,3.83,4,4,5,4,5,4.4,4,5,4,4.33,6,6,5,3,5,5,4,5,4,5,5,4,4.6,6,2,6,6,5,5,5.6,5,3,5,2,6,4.75,7,6,6,6.33,3,3,3,Student,0,2,2,22,1,-0.5,1,0,1,0,0,0,,0.5,5,5,3,4,3,,1,0,,To see what people feel about doctors having implicit bias based on political ideas.,3
156,0.5,1,0,4,3,3,5,3,5,3,5,3.5,5,3,4,4,4,4,4,4,5,4,5,5,4,4,5,4.6,5,5,6,5.33,5,6,7,1,7,4.75,4,7,6,6,7,7,6.6,6,5,3,5,6,6,5.2,4,5,5,5,3,4.25,4,6,5,5,3,2,3,IT,0,2,2,20,1,-0.5,0,0,1,0,0,0,,-0.5,2,6,2,2,1,,1,0,,,3
157,0.5,1,0,2,6,6,7,1,7,1,5,3.5,7,1,7,1,7,1,6,1,1,1.83,1,1,1,1,1,1,1,5,1,2.33,7,7,1,7,7,7,1,2,5,5,5,3,4,1,7,1,1,1,1,1,7,5,1,3,5,4.5,7,7,7,7,3,3,3,sales associate,0,2,2,26,1,-0.5,0,0,1,0,0,0,,-0.5,6,3,5,5.5,4,libertarian,1,0,no,I don't know,2
158,0.5,1,0,3,3,5,5,3,5,3,4,3.5,5,3,4,4,5,3,5,6,5,4.33,4,5,3,5,4,4.2,5,6,5,5.33,4,5,6,2,5,4,6,4,6,5,4,3,4.4,3,2,6,5,5,4,4.6,3,6,5,4,4,4.5,3,3,4,3.33,3,3,3,Software support specialiat,0,1,2,26,1,-0.5,0,0,1,0,0,0,,-0.5,4,5,3,3.5,3,,1,0,,I'm not sure,2
159,0.5,1,0,2,2,2,4,4,4,4,6,3.33,5,3,5,3,5,3,6,6,6,4.5,6,2,6,6,5,5,3,6,5,4.67,2,2,6,2,2,2,2,2,3,6,2,2,3,3,2,6,6,6,2,4.6,2,2,2,6,2,2,6,6,6,6,3,3,3,"self employed, e-commerce",0,2,2,58,1,-0.5,0,0,1,0,0,0,,-0.5,6,2,6,6,3,,1,0,,unsure,1
160,0.5,1,0,2,2,2,6,2,6,2,2,2,6,2,6,2,6,2,4,2,4,2.67,1,1,1,2,1,1.2,1,2,1,1.33,4,4,3,5,4,4.25,4,4,4,4,4,4,4,2,7,1,2,4,1,2,4,2,2,6,2,2.5,6,6,4,5.33,3,3,3,Administrative Assistant,0,2,2,69,2,0.5,1,0,0,0,0,0,,0.5,4,1,7,5.5,3,,1,0,None.,Implicit bias.,2
161,0.5,1,0,7,7,7,1,7,1,7,7,7,1,7,1,7,1,7,7,7,7,7,7,4,7,4,6,5.6,7,7,7,7,1,1,7,1,1,1,1,1,1,7,7,1,3.4,7,1,7,7,7,7,7,1,1,1,7,1,1,6,6,6,6,3,3,3,office manager,0,2,2,30,1,-0.5,0,0,0,1,0,0,,0.5,1,7,1,1,1,,1,0,no,perception of bias,2
162,0.5,1,0,7,7,7,1,7,1,7,7,7,1,7,1,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,1,7,1,1,2,7,1,1,1,1,1,1,7,1,7,7,7,7,7,5,5,7,2,6,5.75,7,7,7,7,1,3,3,Data Analyst,0,2,2,23,1,-0.5,0,0,1,0,0,0,,-0.5,1,7,1,1,1,,1,0,I do not.,To evaluate how people responded to the news in the article.,3
163,0.5,1,0,4,5,6,4,4,2,6,5,5,5,3,7,1,7,1,5,6,5,3.5,6,4,6,4,4,4.8,2,5,2,3,6,6,4,4,6,5.5,5,4,4,5,5,5,4.6,6,2,6,7,6,7,6.4,4,3,5,3,5,4.25,2,2,4,2.67,3,3,3,Self-employed,0,2,2,29,1,-0.5,0,0,1,0,0,0,,-0.5,2,6,2,2,3,,1,0,No,To see how people react to a real or fake story.,2
164,0.5,1,0,2,6,6,3,5,2,6,6,5.17,6,2,5,3,5,3,6,6,5,4.17,6,6,6,6,6,6,2,3,3,2.67,5,2,6,2,5,3.5,6,1,1,6,1,1,2,7,1,7,7,7,7,7,5,5,5,3,5,5,6,6,7,6.33,3,3,3,retail,0,2,2,37,1,-0.5,0,0,1,0,0,0,,-0.5,1,7,1,1,1,,1,0,,To see our views of others and biases.,2
165,0.5,1,0,5,3,5,3,5,3,5,5,4.67,3,5,3,5,5,3,5,5,5,4.67,6,6,6,6,5,5.8,6,5,5,5.33,2,2,2,6,2,3,3,1,1,1,1,1,1,7,1,7,7,7,7,7,1,1,1,5,3,1.5,6,6,5,5.67,3,3,3,Retail,0,2,2,25,1,-0.5,0,0,1,0,0,0,,-0.5,2,5,3,2.5,1,,1,0,,,2
166,0.5,1,0,5,5,5,5,3,5,3,5,4.33,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4.8,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1,INTERNET,0,2,2,26,1,-0.5,0,0,1,0,0,0,,-0.5,4,4,4,4,3,,1,0,thank you,perceptions of beliefs,2
167,0.5,1,0,5,6,5,3,5,3,5,6,5.33,5,3,5,3,5,3,5,6,3,3.83,4,4,4,3,3,3.6,4,5,3,4,4,6,3,5,4,4.75,5,3,3,3,3,2,2.8,5,2,6,5,5,6,5.4,4,4,5,3,5,4.5,6,6,6,6,3,3,3,Technical Support Lead,0,2,2,55,1,-0.5,0,0,1,0,0,0,,-0.5,1,7,1,1,1,,1,0,none,not sure,2
168,0.5,1,0,6,6,7,2,6,4,4,7,6,3,5,4,4,4,4,7,6,6,5.33,5,7,6,6,6,6,4,6,5,5,6,5,2,6,5,5.5,6,7,6,6,5,6,6,5,2,6,5,6,5,5.4,6,5,6,2,6,5.75,5,5,6,5.33,3,3,3,IT Associate,0,2,2,28,1,-0.5,0,0,1,0,0,0,,-0.5,6,3,5,5.5,2,,1,0,,Perceptions toward implicit bias and how individual view the concept of such bias in comparison with those in a profession such as doctors.,2
169,0.5,1,0,7,7,7,1,7,1,7,7,7,7,1,7,1,7,1,7,7,7,4,7,7,7,7,7,7,7,7,7,7,1,1,7,1,1,1,7,7,7,7,7,7,7,7,1,7,7,7,7,7,1,1,1,1,7,2.5,7,7,7,7,3,3,3,student,0,1,2,23,1,-0.5,0,0,1,0,0,0,,-0.5,1,1,7,4,3,,1,0,no comment,how people perceive bias,2
170,0.5,1,0,4,3,3,5,3,4,4,2,3.17,6,2,6,2,6,2,2,3,2,2.17,5,6,6,1,5,4.6,1,2,2,1.67,5,5,6,2,5,4.25,1,1,1,5,5,2,2.8,7,2,6,7,6,7,6.6,5,5,5,4,4,4.75,7,7,7,7,3,3,3,Chemistry Research Associate,0,2,2,38,1,-0.5,0,0,1,0,0,0,,-0.5,4,4,4,4,3,,1,0,Thank you!,"The researchers are likely interested in how people view the importance of implicit political bias in the practice and evaluation of physicians.  More specifically, the researchers are likely interested in seeing how the strength of peoples' own political view correlate with their opinion on how serious of a problem implicit political bias is.",2
171,0.5,1,0,5,4,5,5,3,5,3,6,4.33,4,4,5,3,5,3,6,5,5,4.33,5,3,5,3,2,3.6,1,3,3,2.33,3,4,5,3,4,3.5,2,3,2,4,4,4,3.4,4,3,5,6,5,4,4.8,3,3,3,5,3,3,6,7,6,6.33,2,3,3,Human Resources Coordinator,0,2,2,34,2,0.5,0,0,1,0,0,0,,-0.5,7,2,6,6.5,2,,1,0,No,Perceptions of biases displayed by people in the medical field.,2
172,0.5,1,0,2,2,5,5,3,5,3,4,3.17,6,2,6,2,6,2,4,6,4,3.33,5,2,5,2,6,4,3,5,4,4,6,6,3,5,6,5.75,6,3,3,6,6,6,4.8,6,2,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,3,3,3,self-employed,0,2,1,27,1,-0.5,0,0,1,0,0,0,,-0.5,1,6,2,1.5,4,Anarchist,1,0,No,Biases,2
173,0.5,1,0,2,3,3,5,3,5,3,3,2.83,5,3,5,3,5,3,6,3,5,3.83,5,5,6,2,6,4.8,1,3,3,2.33,3,2,6,2,4,2.75,7,1,1,1,1,1,1,6,1,7,7,7,6,6.6,4,5,5,3,5,4.75,5,7,7,6.33,3,3,3,Machinist,0,1,2,31,1,-0.5,0,0,1,0,0,0,,-0.5,5,5,3,4,3,,1,0,Article was correctly sized.,To understand If normal people showed an implicit bias even after reading it.,2
174,0.5,1,0,6,6,6,5,3,5,3,6,5,6,2,6,2,6,2,3,5,3,2.83,4,4,5,4,4,4.2,4,4,4,4,3,3,6,2,3,2.75,2,5,5,6,5,3,4.8,7,1,7,7,7,7,7,2,2,2,2,6,3,2,6,6,4.67,3,3,3,stenographer,0,1,2,45,2,0.5,0,0,1,0,0,0,,-0.5,5,1,7,6,2,,1,0,n/a,unsure,2
175,0.5,1,0,6,6,6,2,6,2,6,6,6,2,6,2,6,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,6,2,2,2,2,2,2,4,2,2,2.4,6,2,6,6,6,6,6,2,2,2,6,2,2,6,6,2,4.67,3,3,3,hostess,0,2,2,23,2,0.5,0,0,1,0,0,0,,-0.5,2,6,2,2,1,,1,0,No,I'm not sure,2
176,0.5,1,0,5,5,6,3,5,3,5,6,5.33,4,4,2,6,5,3,6,5,5,4.83,6,5,5,4,2,4.4,4,5,4,4.33,4,6,3,5,4,4.75,5,2,2,5,2,2,2.6,6,2,6,6,6,6,6,5,5,5,2,6,5.25,5,5,6,5.33,3,3,3,IT Support,0,2,2,55,1,-0.5,0,0,1,0,0,0,,-0.5,1,6,2,1.5,1,,1,0,No,Don't know,3
177,0.5,1,0,5,6,7,3,5,3,5,5,5.5,5,3,5,3,6,2,5,6,3,3.67,6,5,6,3,3,4.6,2,3,3,2.67,5,6,2,6,6,5.75,5,5,6,6,5,5,5.4,6,3,5,6,6,5,5.6,6,5,5,3,5,5.25,7,7,7,7,3,3,3,Retail Manager,0,2,2,43,1,-0.5,1,0,0,0,0,0,,0.5,2,6,2,2,1,,1,0,That article was interesting. I had no clue that this was possibly going on with doctors. As an african american male I always fear that a white doctor cant look past my skin color but this article made me fear that it may be possible that doctors can't even if they don't want to be biased.,To determine a person's perception about implicit bias.,2
178,0.5,1,0,5,6,6,2,6,2,6,6,5.83,3,5,3,5,3,5,6,6,6,5.5,6,6,6,6,6,6,6,6,6,6,5,2,5,3,5,3.75,4,1,1,1,1,1,1,7,1,7,7,7,7,7,1,1,1,1,7,2.5,5,5,5,5,3,3,3,editor,0,2,2,52,1,-0.5,0,0,1,0,0,0,,-0.5,1,6,2,1.5,1,,1,0,,no idea,2
179,0.5,1,0,6,3,5,4,4,5,3,6,4.5,3,5,5,3,5,3,5,5,3,4,5,4,3,2,5,3.8,5,2,5,4,6,5,5,3,2,4,5,6,4,6,2,3,4.2,4,6,2,4,5,5,4,5,5,3,4,4,4.25,6,5,5,5.33,3,3,3,Student,0,1,2,22,1,-0.5,1,0,1,0,0,0,,0.5,2,5,3,2.5,1,,1,0,None,Impressions of doctors and whether or not biases can be an issue with their quality of service provided.,2
180,0.5,1,0,5,6,4,4,4,5,3,6,4.67,7,1,7,1,7,1,6,4,6,3.17,6,6,6,1,5,4.8,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,7,1,1,1,2.2,1,1,1,6,2,1.25,7,7,7,7,3,3,3,Contractor,0,2,2,31,1,-0.5,0,0,0,1,0,0,,0.5,7,1,7,7,2,,1,0,None,Implicit bias,2
